0.0906703123,1,100
0.0844982986,2,99
0.0811307124,3,98
0.0899867741,4,97
0.0957590049,5,96
0.0715559592,6,95
0.0963866355,7,94
0.0750725126,8,93
0.0740678746,9,92
0.0899872998,10,91
0.0886799764,11,90
0.0803517529,12,89
0.0621075602,13,88
0.0603895009,14,87
0.0776651551,15,86
0.0573870815,16,85
0.0531914912,17,84
0.0676774332,18,83
0.0594411142,19,82
0.0629515004,20,81
0.0423213266,21,80
0.0385357091,22,79
0.0316770306,23,78
0.0270103786,24,77
0.0206662878,25,76
0.0053474822,26,75
-0.0087969968,27,74
-0.0345408403,28,73
-0.0463618021,29,72
-0.0744777678,30,71
-0.0943046006,31,70
-0.1481552772,32,69
-0.1828349539,33,68
-0.2126138488,34,67
-0.1922461482,35,66
-0.2662175484,36,65
-0.2959740886,37,64
-0.3225648456,38,63
-0.3276771907,39,62
-0.2953350298,40,61
-0.3790216923,41,60
-0.3665597383,42,59
-0.3148070475,43,58
-0.3057919473,44,57
-0.3736468266,45,56
-0.3674838466,46,55
-0.3404897613,47,54
-0.2668246367,48,53
-0.230420367,49,52
-0.2903672487,50,51
-0.2246095247,51,50
-0.2311854021,52,49
-0.1810988506,53,48
-0.1709115776,54,47
-0.1660227531,55,46
-0.1848354972,56,45
-0.1659171378,57,44
-0.1521427287,58,43
-0.1540663084,59,42
-0.1105265177,60,41
-0.1019836514,61,40
-0.1222435891,62,39
-0.100035974,63,38
-0.0997871386,64,37
-0.1124948623,65,36
-0.0934776573,66,35
-0.093030914,67,34
-0.0746758193,68,33
-0.0879970597,69,32
-0.0746153373,70,31
-0.1033508288,71,30
-0.0766016149,72,29
-0.1095497753,73,28
-0.1049257065,74,27
-0.0928033985,75,26
-0.0930872069,76,25
-0.0976339415,77,24
-0.128459216,78,23
-0.1613820913,79,22
-0.1431429491,80,21
-0.1348845462,81,20
-0.2020178795,82,19
-0.2152562337,83,18
-0.2589441478,84,17
-0.2212064314,85,16
-0.2542877148,86,15
-0.2375057447,87,14
-0.3775674597,88,13
-0.4196640248,89,12
-0.4572605909,90,11
-0.3717241297,91,10
-0.3981005379,92,9
-0.5561845526,93,8
-0.5260474217,94,7
-0.454676475,95,6
-0.4749575971,96,5
-0.4952464007,97,4
-0.5995630633,98,3
-0.7452459253,99,2
-0.6341716576,100,1
